,Time,Position,P,I,kp,ki,Setpoint,Pixel Lenght
0,0.0,13,312.9,0.0,0.7,0.16666666,460.0,640.0
1,0.014015436172485352,13,312.9,1.044149953084159,,,,
2,0.03795957565307617,13,312.9,3.872138226118798,,,,
3,0.0699760913848877,13,312.9,9.08535682576418,,,,
4,0.10173606872558594,14,312.2,16.659400313301795,,,,
5,0.13371992111206055,13,312.9,26.616240708319893,,,,
6,0.1597740650177002,13,312.9,38.51411474666679,,,,
7,0.19178223609924316,13,312.9,52.79659743520429,,,,
8,0.22587156295776367,13,312.9,69.61873487311537,,,,
9,0.28377652168273926,13,312.9,90.75479156348035,,,,
10,0.3084747791290283,13,312.9,113.73086835999307,,,,
11,0.3404655456542969,13,312.9,139.09025716730582,,,,
12,0.3719902038574219,14,312.2,166.79297880731752,,,,
13,0.404447078704834,13,312.9,196.91373752673996,,,,
14,0.4364750385284424,13,312.9,229.4205791575779,,,,
15,0.46884775161743164,13,312.9,264.33918781707484,,,,
16,0.5077540874481201,13,312.9,302.1563183800172,,,,
17,0.5403614044189453,14,312.2,342.39725940750515,,,,
18,0.5681667327880859,14,312.2,384.7050630944247,,,,
19,0.5979740619659424,13,312.9,429.2335127162687,,,,
20,0.6459569931030273,13,312.9,477.33669056483643,,,,
21,0.6771118640899658,13,312.9,527.7609062090895,,,,
22,0.7098708152770996,13,312.9,580.6256636191624,,,,
23,0.7417392730712891,14,312.2,635.8593096305145,,,,
24,0.7739574909210205,13,312.9,693.4932127756614,,,,
25,0.8059756755828857,13,312.9,753.5124705827029,,,,
26,0.8369894027709961,13,312.9,815.8422509728379,,,,
27,0.8689711093902588,13,312.9,880.5546684108024,,,,
28,0.901740550994873,13,312.9,947.7084091506576,,,,
29,0.9339091777801514,14,312.2,1017.2533510525706,,,,
30,0.9659950733184814,13,312.9,1089.1886920764732,,,,
31,1.004549264907837,13,312.9,1163.9963202588913,,,,
32,1.043990135192871,13,312.9,1241.7422931600106,,,,
33,1.0764636993408203,13,312.9,1321.907546493381,,,,
34,1.1079707145690918,14,312.2,1404.414821198372,,,,
35,1.1397418975830078,14,312.2,1489.2837537462644,,,,
36,1.171990156173706,13,312.9,1576.555181463064,,,,
37,1.204556941986084,14,312.2,1666.2474068284184,,,,
38,1.2365059852600098,13,312.9,1758.3198358224722,,,,
39,1.2687149047851562,14,312.2,1852.7864610721274,,,,
40,1.300611972808838,14,312.2,1949.6241016167023,,,,
41,1.3319709300994873,14,312.2,2048.792757893308,,,,
42,1.364483118057251,14,312.2,2150.378153378105,,,,
43,1.419973611831665,14,312.2,2256.0883420684745,,,,
44,1.4458231925964355,13,312.9,2363.7243244487877,,,,
45,1.477940320968628,14,312.2,2473.747679942606,,,,
46,1.5163817405700684,14,312.2,2586.628514179165,,,,
47,1.5405035018920898,14,312.2,2701.302399268939,,,,
48,1.5725347995758057,14,312.2,2818.3572773912965,,,,
49,1.6039915084838867,14,312.2,2937.7504374489567,,,,
50,1.6359732151031494,14,312.2,3059.520904270223,,,,
51,1.6685543060302734,14,312.2,3183.7132320868645,,,,
52,1.6997528076171875,14,312.2,3310.224648428703,,,,
53,1.7319493293762207,14,312.2,3439.129339458899,,,,
54,1.7877607345581055,15,311.5,3572.173376207844,,,,
55,1.814040184020996,15,311.5,3707.166472047324,,,,
56,1.8509838581085205,15,311.5,3844.899556938696,,,,
57,1.8759727478027344,15,311.5,3984.4859844082557,,,,
58,1.9084579944610596,15,311.5,4126.481734241935,,,,
59,1.9404995441436768,15,311.5,4270.853898915351,,,,
60,1.9726190567016602,15,311.5,4417.608260674863,,,,
61,2.003972291946411,15,311.5,4566.68798728868,,,,
62,2.036520004272461,15,311.5,4718.181669136788,,,,
63,2.068572521209717,15,311.5,4872.052579229319,,,,
64,2.100613832473755,15,311.5,5028.299886478877,,,,
65,2.1319377422332764,16,310.79999999999995,5186.865162957921,,,,
66,2.1805076599121094,16,310.79999999999995,5349.024613201432,,,,
67,2.212456226348877,16,310.79999999999995,5513.548257266695,,,,
68,2.2439043521881104,17,310.09999999999997,5680.393821196879,,,,
69,2.2758262157440186,17,310.09999999999997,5849.596282625331,,,,
70,2.308440923690796,18,309.4,6021.201360776425,,,,
71,2.3398265838623047,19,308.7,6195.11328485785,,,,
72,2.3725545406341553,20,308.0,6371.425259006543,,,,
73,2.4039742946624756,21,307.29999999999995,6550.0361117330185,,,,
74,2.436431884765625,22,306.59999999999997,6731.016368442249,,,,
75,2.468341588973999,23,305.9,6914.320715181691,,,,
76,2.5005455017089844,24,305.2,7099.965212819604,,,,
77,2.553973436355591,26,303.79999999999995,7289.474330909036,,,,
78,2.5877578258514404,27,303.09999999999997,7481.421555676228,,,,
79,2.6137962341308594,28,302.4,7675.243545764548,,,,
80,2.6458449363708496,29,301.7,7871.367700871687,,,,
81,2.676988363265991,31,300.29999999999995,8069.718610912758,,,,
82,2.709782361984253,33,298.9,8270.403360435925,,,,
83,2.7410049438476562,35,297.5,8473.299709419285,,,,
84,2.7738656997680664,37,296.09999999999997,8678.512741602368,,,,
85,2.8049886226654053,39,294.7,8885.90956545473,,,,
86,2.837822914123535,42,292.59999999999997,9095.593844853842,,,,
87,2.869962453842163,44,291.2,9307.506465584313,,,,
88,2.9083213806152344,47,289.09999999999997,9522.059459002048,,,,
89,2.955963373184204,50,287.0,9739.86798844844,,,,
90,2.98858642578125,53,284.9,9959.889448207483,,,,
91,3.020369529724121,56,282.79999999999995,10182.050970213077,,,,
92,3.044459104537964,59,280.7,10405.822478737662,,,,
