,Time,Position,P,I,kp,ki,Setpoint,Pixel Lenght
0,0.0,13,447,0.0,1.0,1.0,460.0,640.0
1,0.01500391960144043,13,447,6.706752061843872,,,,
2,0.045881032943725586,13,447,27.21557378768921,,,,
3,0.07096552848815918,13,447,58.93716502189636,,,,
4,0.10395073890686035,13,447,105.40314531326294,,,,
5,0.134932279586792,13,447,165.71787428855896,,,,
6,0.1669914722442627,13,447,240.36306238174438,,,,
7,0.1992342472076416,13,447,329.4207708835602,,,,
8,0.2308955192565918,13,447,432.6310679912567,,,,
9,0.2833073139190674,13,447,559.2694373130798,,,,
10,0.30529284477233887,13,447,695.7353389263153,,,,
11,0.33640480041503906,13,447,846.1082847118378,,,,
12,0.36794209480285645,13,447,1010.5784010887146,,,,
13,0.40068531036376953,13,447,1189.6847348213196,,,,
14,0.43277764320373535,13,447,1383.1363413333893,,,,
15,0.4647552967071533,13,447,1590.8819589614868,,,,
16,0.49581289291381836,13,447,1812.5103220939636,,,,
17,0.5279576778411865,13,447,2048.507404088974,,,,
18,0.5607576370239258,13,447,2299.166067838669,,,,
19,0.5928246974945068,13,447,2564.1587076187134,,,,
20,0.6409492492675781,13,447,2850.663022041321,,,,
21,0.6728668212890625,13,447,3151.4344911575317,,,,
22,0.7179276943206787,13,447,3472.348170518875,,,,
23,0.7489645481109619,13,447,3807.135323524475,,,,
24,0.7809631824493408,13,447,4156.22586607933,,,,
25,0.8139309883117676,13,447,4520.053017854691,,,,
26,0.8458259105682373,13,447,4898.137199878693,,,,
27,0.8769638538360596,13,447,5290.140042543411,,,,
28,0.9105319976806641,13,447,5697.147845506668,,,,
29,0.9335179328918457,13,447,6114.430361509323,,,,
30,0.9658477306365967,13,447,6546.164297103882,,,,
31,0.9972589015960693,13,447,6991.939026117325,,,,
32,1.0529284477233887,13,447,7462.59804224968,,,,
33,1.0786964893341064,13,447,7944.775372982025,,,,
34,1.110673427581787,13,447,8441.246395111084,,,,
35,1.1436474323272705,13,447,8952.456797361374,,,,
36,1.181947946548462,13,447,9480.787529468536,,,,
37,1.2139489650726318,13,447,10023.422716856003,,,,
38,1.2456610202789307,13,447,10580.233192920685,,,,
39,1.2769508361816406,13,447,11151.030216693878,,,,
40,1.3089516162872314,13,447,11736.13158917427,,,,
41,1.341395616531372,13,447,12335.735429763794,,,,
42,1.3739471435546875,13,447,12949.88980293274,,,,
43,1.4217002391815186,13,447,13585.389809846878,,,,
44,1.452996015548706,13,447,14234.87902879715,,,,
45,1.4806041717529297,13,447,14896.70909357071,,,,
46,1.5112628936767578,13,447,15572.24360704422,,,,
47,1.54315185546875,13,447,16262.032486438751,,,,
48,1.5749287605285645,13,447,16966.02564239502,,,,
49,1.6063814163208008,14,446,17684.046682834625,,,,
50,1.6389782428741455,14,446,18416.605907917023,,,,
51,1.6778905391693115,14,446,19166.520017147064,,,,
52,1.7103288173675537,14,446,19930.90159845352,,,,
53,1.7427780628204346,14,446,20709.755543231964,,,,
54,1.789438247680664,14,446,21509.41993045807,,,,
55,1.8149442672729492,14,446,22320.460002422333,,,,
56,1.8469107151031494,14,446,23145.757110118866,,,,
57,1.873814582824707,14,446,23983.053342819214,,,,
58,1.9058825969696045,14,446,24834.651909828186,,,,
59,1.9369540214538574,14,446,25700.108332157135,,,,
60,1.9689545631408691,14,446,26579.83699607849,,,,
61,2.001889705657959,14,446,27474.25473356247,,,,
62,2.033702850341797,14,446,28382.86113357544,,,,
63,2.065887451171875,14,446,29305.821865558624,,,,
64,2.0985610485076904,14,446,30243.355021953583,,,,
65,2.1293649673461914,15,445,31194.595922231674,,,,
66,2.176337957382202,15,445,32166.73980307579,,,,
67,2.2083191871643066,15,445,33153.11533117294,,,,
68,2.241311550140381,16,444,34154.13946843147,,,,
69,2.272282600402832,16,444,35168.91475200653,,,,
70,2.304264545440674,16,444,36197.89001917839,,,,
71,2.3359460830688477,17,443,37240.90020751953,,,,
72,2.3679697513580322,17,443,38298.09688091278,,,,
73,2.4008617401123047,17,443,39369.86470532417,,,,
74,2.4333653450012207,18,442,40455.999123096466,,,,
75,2.465402126312256,18,442,41556.29379820824,,,,
76,2.501598358154297,18,442,42672.58720779419,,,,
77,2.5449414253234863,19,441,43807.994910001755,,,,
78,2.576927661895752,20,440,44957.47655630112,,,,
79,2.613940715789795,21,439,46123.206933259964,,,,
80,2.6475493907928467,22,438,47303.65790987015,,,,
81,2.672675371170044,23,437,48495.08893990517,,,,
82,2.703943967819214,25,435,49700.121809482574,,,,
83,2.737365245819092,26,434,50919.65951371193,,,,
84,2.769658088684082,28,432,52153.14772605896,,,,
85,2.80118465423584,29,431,53400.2238881588,,,,
86,2.833630323410034,31,429,54661.219242334366,,,,
87,2.8652689456939697,33,427,55935.724288225174,,,,
88,2.89707612991333,35,425,57223.74738740921,,,,
89,2.956096887588501,37,423,58536.736267089844,,,,
90,2.977083444595337,39,421,59858.560487270355,,,,
91,3.0079550743103027,42,418,61193.28904867172,,,,
92,3.04109263420105,44,416,62541.80283498764,,,,
93,3.073115587234497,47,413,63903.54210090637,,,,
94,3.1049394607543945,50,410,65278.32915496826,,,,
95,3.1369471549987793,52,408,66666.17534828186,,,,
96,3.16916561126709,55,405,68067.07001638412,,,,
97,3.2010576725006104,58,402,69480.78529310226,,,,
98,3.2376649379730225,60,400,70909.14347600937,,,,
99,3.271165370941162,63,397,72350.80133080482,,,,
100,3.320186138153076,66,394,73811.77336788177,,,,
101,3.357344388961792,69,391,75287.27428102493,,,,
102,3.391087532043457,72,388,76775.86753368378,,,,
103,3.4152915477752686,75,385,78273.77933239937,,,,
104,3.4443697929382324,79,381,79782.76994252205,,,,
