,Time,Position,P,I,kp,ki,Setpoint,Pixel Lenght
0,0.0,13,287,0.0,1.0,0.02,300.0,595.0
1,0.013976097106933594,13,287,0.08022279739379884,,,,
2,0.036882877349853516,13,287,0.21170771598815918,,,,
3,0.06856203079223633,13,287,0.39354605674743653,,,,
4,0.10057282447814941,13,287,0.5772880125045776,,,,
5,0.13297438621520996,13,287,0.7632729768753052,,,,
6,0.16496634483337402,13,287,0.9469068193435668,,,,
7,0.1970045566558838,13,287,1.1308061552047728,,,,
8,0.22886037826538086,13,287,1.313658571243286,,,,
9,0.2765491008758545,13,287,1.5873918390274047,,,,
10,0.30890774726867676,13,287,1.7731304693222045,,,,
11,0.3375566005706787,13,287,1.9375748872756957,,,,
12,0.36977481842041016,13,287,2.122507457733154,,,,
13,0.400958776473999,13,287,2.3015033769607545,,,,
14,0.43354058265686035,13,287,2.4885229444503785,,,,
15,0.46553516387939453,13,287,2.672171840667725,,,,
16,0.4977610111236572,13,287,2.8571482038497926,,,,
17,0.5297539234161377,13,287,3.0407875204086308,,,,
18,0.560936450958252,13,287,3.2197752285003665,,,,
19,0.6044938564300537,13,287,3.4697947359085086,,,,
20,0.6526718139648438,13,287,3.7463362121582033,,,,
21,0.6781818866729736,13,287,3.8927640295028687,,,,
22,0.7102057933807373,13,287,4.076581254005432,,,,
23,0.7415330410003662,13,287,4.2563996553421015,,,,
24,0.7741849422454834,13,287,4.443821568489074,,,,
25,0.806187629699707,13,287,4.627516994476318,,,,
26,0.8386876583099365,13,287,4.814067158699036,,,,
27,0.8695259094238281,13,287,4.991078720092774,,,,
28,0.9015116691589355,13,287,5.17467698097229,,,,
29,0.9343962669372559,13,287,5.363434572219848,,,,
30,0.9719247817993164,13,287,5.578848247528076,,,,
31,0.9982054233551025,13,287,5.729699130058289,,,,
32,1.046008586883545,13,287,6.004089288711548,,,,
33,1.0786736011505127,13,287,6.1915864706039425,,,,
34,1.1094980239868164,13,287,6.368518657684326,,,,
35,1.1414830684661865,13,287,6.55211281299591,,,,
36,1.1708405017852783,13,287,6.720624480247497,,,,
37,1.2019448280334473,13,287,6.899163312911987,,,,
38,1.2339816093444824,13,287,7.083054437637329,,,,
39,1.2654967308044434,13,287,7.263951234817505,,,,
40,1.2979459762573242,13,287,7.450209903717041,,,,
41,1.3299918174743652,13,287,7.634153032302856,,,,
42,1.3619513511657715,13,287,7.817600755691528,,,,
43,1.4174728393554688,13,287,8.13629409790039,,,,
44,1.451897144317627,13,287,8.333889608383178,,,,
45,1.4845154285430908,13,287,8.52111855983734,,,,
46,1.5087895393371582,13,287,8.660451955795287,,,,
47,1.5408387184143066,13,287,8.844414243698118,,,,
48,1.5724568367004395,13,287,9.025902242660521,,,,
49,1.6048896312713623,13,287,9.212066483497619,,,,
50,1.6369178295135498,13,287,9.395908341407775,,,,
51,1.6688437461853027,13,287,9.579163103103637,,,,
52,1.7008516788482666,13,287,9.76288863658905,,,,
53,1.7328636646270752,13,287,9.946637434959412,,,,
54,1.788442611694336,13,287,10.265660591125489,,,,
55,1.8204147815704346,13,287,10.449180846214295,,,,
56,1.8462471961975098,13,287,10.597458906173706,,,,
57,1.8774619102478027,13,287,10.776631364822387,,,,
58,1.9094488620758057,13,287,10.960236468315124,,,,
59,1.941460132598877,13,287,11.143981161117553,,,,
60,1.974177598953247,13,287,11.331779417991637,,,,
61,2.0058629512786865,13,287,11.51365334033966,,,,
62,2.0381977558135986,13,287,11.699255118370056,,,,
63,2.0704379081726074,13,287,11.884313592910766,,,,
64,2.1068239212036133,13,287,12.09316930770874,,,,
65,2.1403989791870117,13,287,12.285890140533446,,,,
66,2.1885714530944824,13,287,12.562400140762328,,,,
67,2.2204301357269287,13,287,12.74526897907257,,,,
68,2.2523746490478516,13,287,12.928630485534667,,,,
69,2.2844743728637695,13,287,13.112882900238036,,,,
70,2.3164384365081787,13,287,13.296356625556944,,,,
71,2.3484079837799072,13,287,13.479861826896666,,,,
72,2.3741722106933594,13,287,13.627748489379881,,,,
73,2.4058258533477783,13,287,13.809440398216246,,,,
74,2.4454007148742676,13,287,14.036600103378294,,,,
75,2.476452350616455,13,287,14.214836492538451,,,,
76,2.49906063079834,13,287,14.34460802078247,,,,
77,2.5476584434509277,13,287,14.623559465408324,,,,
78,2.580173969268799,13,287,14.810198583602904,,,,
79,2.618502378463745,13,287,15.030203652381896,,,,
80,2.6524620056152344,13,287,15.225131912231445,,,,
81,2.677401065826416,14,286,15.367783336639404,,,,
82,2.7093985080718994,13,287,15.551448655128478,,,,
83,2.742119073867798,14,286,15.738610291481017,,,,
84,2.7743947505950928,14,286,15.923227162361144,,,,
85,2.801922082901001,14,286,16.08068350315094,,,,
86,2.833404302597046,14,286,16.260761799812318,,,,
87,2.865402936935425,14,286,16.443793988227846,,,,
88,2.8978352546691895,14,286,16.629306845664978,,,,
89,2.9567368030548096,14,286,16.966223702430725,,,,
90,2.98838472366333,14,286,17.14724980831146,,,,
91,3.0123777389526367,14,286,17.284489855766296,,,,
92,3.0447399616241455,14,286,17.469601769447326,,,,
93,3.0763800144195557,14,286,17.650582871437074,,,,
94,3.1088783740997314,14,286,17.83647348880768,,,,
95,3.140758514404297,14,286,18.018827891349794,,,,
96,3.172823429107666,14,286,18.202239203453065,,,,
97,3.2047781944274902,14,286,18.38502046108246,,,,
98,3.236366033554077,14,286,18.565702900886535,,,,
99,3.2686781883239746,14,286,18.750528426170348,,,,
100,3.3243603706359863,14,286,19.069030508995056,,,,
101,3.350074529647827,14,286,19.216115498542784,,,,
