,Time,Position,P,kp,Setpoint,Pixel Lenght
0,0.0,222,1190,5.0,460.0,595.0
1,0.013984203338623047,13,2235,,,
2,0.48674964904785156,13,2235,,,
3,2.001319169998169,13,2235,,,
4,3.5153698921203613,13,2235,,,
5,5.029899835586548,27,2165,,,
6,6.544379711151123,158,1510,,,
7,8.05862832069397,378,410,,,
8,9.572818517684937,494,-170,,,
9,11.087263107299805,498,-190,,,
10,12.601666927337646,498,-190,,,
11,14.115877866744995,498,-190,,,
12,15.629548788070679,496,-180,,,
13,17.14466667175293,347,565,,,
14,18.658679962158203,238,1110,,,
15,20.1730637550354,129,1655,,,
16,21.68763494491577,14,2230,,,
17,23.20115613937378,13,2235,,,
18,24.71619963645935,23,2185,,,
19,26.23049306869507,134,1630,,,
20,27.744022369384766,331,645,,,
21,29.258291006088257,486,-130,,,
22,30.77356481552124,498,-190,,,
23,32.287846088409424,498,-190,,,
24,33.80142331123352,498,-190,,,
25,35.31619191169739,494,-170,,,
26,36.83073091506958,347,565,,,
27,38.34507703781128,248,1060,,,
28,39.859379291534424,136,1620,,,
29,41.37356209754944,14,2230,,,
30,42.887775897979736,14,2230,,,
31,44.402223110198975,16,2220,,,
