,Time,Position,P,kp,Setpoint,Pixel Lenght
0,0.0,55,405,1.0,460.0,595.0
1,0.0049936771392822266,13,447,,,
2,0.4359710216522217,13,447,,,
3,1.9500017166137695,13,447,,,
4,3.464104652404785,14,446,,,
5,4.977967739105225,74,386,,,
6,6.491405725479126,254,206,,,
7,8.005817651748657,442,18,,,
8,9.520110607147217,498,-38,,,
9,11.033594608306885,498,-38,,,
10,12.547897100448608,498,-38,,,
11,14.06186318397522,458,2,,,
12,15.576010704040527,336,124,,,
13,17.09016990661621,265,195,,,
14,18.604005336761475,179,281,,,
15,20.118274927139282,84,376,,,
16,21.632091760635376,13,447,,,
17,23.146457195281982,13,447,,,
18,24.660444736480713,14,446,,,
19,26.17453670501709,89,371,,,
20,27.688555002212524,295,165,,,
21,29.202624082565308,475,-15,,,
22,30.71641993522644,498,-38,,,
23,32.23058748245239,498,-38,,,
24,33.7444634437561,498,-38,,,
25,35.25877642631531,370,90,,,
26,36.77251982688904,268,192,,,
27,38.2861168384552,180,280,,,
28,39.80067276954651,80,380,,,
29,41.314783573150635,13,447,,,
30,42.8289589881897,13,447,,,
31,44.342134952545166,14,446,,,
