,Time,Position,P,kp,Setpoint,Pixel Lenght
0,0.0,478,-72,4.0,460.0,595.0
1,0.008011817932128906,13,1788,,,
2,0.4886906147003174,13,1788,,,
3,2.0031943321228027,13,1788,,,
4,3.5176236629486084,13,1788,,,
5,5.031914234161377,13,1788,,,
6,6.545639991760254,27,1732,,,
7,8.060482740402222,156,1216,,,
8,9.574886798858643,330,520,,,
9,11.089160919189453,466,-24,,,
10,12.603565692901611,496,-144,,,
11,14.117861032485962,493,-132,,,
12,15.631888151168823,486,-104,,,
13,17.146546840667725,424,144,,,
14,18.660525798797607,361,396,,,
15,20.174907445907593,295,660,,,
16,21.689509391784668,211,996,,,
17,23.203791856765747,114,1384,,,
18,24.717908143997192,41,1676,,,
19,26.232347011566162,84,1504,,,
20,27.746774196624756,232,912,,,
21,29.261067628860474,434,104,,,
22,30.775197505950928,498,-152,,,
23,32.289748668670654,498,-152,,,
24,33.804041385650635,498,-152,,,
25,35.318233489990234,468,-32,,,
26,36.83259034156799,349,444,,,
27,38.34701442718506,230,920,,,
28,39.86123514175415,108,1408,,,
29,41.37568736076355,13,1788,,,
30,42.889973640441895,13,1788,,,
31,44.404271602630615,37,1692,,,
