,Time,Position,P,I,D,kp,ki,kd,Setpoint,Pixel Lenght
0,0.0,13,774,0.0,0.0,2.0,0.07,0.0,400.0,595.0
1,0.45685696601867676,13,774,12.376255209445954,0.0,,,,,
2,0.4758007526397705,13,774,12.889442389011384,0.0,,,,,
3,0.5304720401763916,13,774,14.370487568378449,0.0,,,,,
4,0.5648159980773926,13,774,15.300865387916566,0.0,,,,,
5,0.6128742694854736,13,774,16.602763960361482,0.0,,,,,
6,0.64261794090271,13,774,17.408520019054414,0.0,,,,,
7,0.6848831176757812,13,774,18.553483657836914,0.0,,,,,
8,0.7173807621002197,13,774,19.433844845294953,0.0,,,,,
9,0.7493453025817871,13,774,20.29976424694061,0.0,,,,,
10,0.8038861751556396,13,774,21.777276484966276,0.0,,,,,
11,0.8359804153442383,13,774,22.646709451675413,0.0,,,,,
12,0.8625361919403076,13,774,23.36610543966293,0.0,,,,,
13,0.8939180374145508,13,774,24.21623963356018,0.0,,,,,
14,0.9259238243103027,13,774,25.0832764005661,0.0,,,,,
15,0.9579288959503174,13,774,25.950293791294097,0.0,,,,,
16,0.9905586242675781,13,774,26.83423313140869,0.0,,,,,
17,1.0227222442626953,13,774,27.705545597076416,0.0,,,,,
18,1.0546975135803223,13,774,28.57175564289093,0.0,,,,,
19,1.0866453647613525,13,774,29.43722293138504,0.0,,,,,
20,1.1184298992156982,13,774,30.298265969753267,0.0,,,,,
21,1.173088550567627,13,774,31.778968834877016,0.0,,,,,
22,1.197969913482666,13,774,32.45300495624542,0.0,,,,,
23,1.2306547164916992,13,774,33.33843626976013,0.0,,,,,
24,1.261967420578003,13,774,34.1866974234581,0.0,,,,,
25,1.2939717769622803,13,774,35.053695437908175,0.0,,,,,
26,1.3259897232055664,13,774,35.9210616016388,0.0,,,,,
27,1.3579814434051514,13,774,36.787717301845554,0.0,,,,,
28,1.391369342803955,13,774,37.692195496559144,0.0,,,,,
29,1.4229919910430908,13,774,38.54885303735733,0.0,,,,,
30,1.4547700881958008,13,774,39.40972168922425,0.0,,,,,
31,1.486764907836914,13,774,40.27646135330201,0.0,,,,,
32,1.534738302230835,13,774,41.57606060743333,0.0,,,,,
33,1.5667212009429932,13,774,42.442477333545696,0.0,,,,,
34,1.598020076751709,13,774,43.29036387920381,0.0,,,,,
35,1.630490779876709,13,774,44.16999522686006,0.0,,,,,
36,1.6620466709136963,13,774,45.02484431505204,0.0,,,,,
37,1.6940367221832275,13,774,45.891454803943645,0.0,,,,,
38,1.7267661094665527,13,774,46.77809390544893,0.0,,,,,
39,1.7580618858337402,13,774,47.625896487236034,0.0,,,,,
40,1.790522813796997,13,774,48.50526302576066,0.0,,,,,
41,1.8220570087432861,13,774,49.35952436685563,0.0,,,,,
42,1.854804515838623,13,774,50.24665433406831,0.0,,,,,
43,1.8861703872680664,13,774,51.09635579109193,0.0,,,,,
44,1.929072618484497,13,774,52.25857723474504,0.0,,,,,
45,1.9617969989776611,13,774,53.14508070230485,0.0,,,,,
46,2.0036237239837646,13,774,54.2781666827202,0.0,,,,,
47,2.036543130874634,13,774,55.16995341539384,0.0,,,,,
48,2.061375617980957,13,774,55.842665491104135,0.0,,,,,
49,2.0934722423553467,13,774,56.71216304540635,0.0,,,,,
50,2.1257710456848145,13,774,57.587137627601635,0.0,,,,,
51,2.1576426029205322,13,774,58.45053811311723,0.0,,,,,
52,2.1888551712036133,13,774,59.2960865879059,0.0,,,,,
53,2.2214608192443848,13,774,60.179373593330396,0.0,,,,,
54,2.2535288333892822,13,774,61.04809609651567,0.0,,,,,
55,2.309135675430298,13,774,62.55448544740678,0.0,,,,,
56,2.3341567516326904,13,774,63.232306401729595,0.0,,,,,
57,2.366145133972168,13,774,64.09887167930604,0.0,,,,,
58,2.3987174034118652,13,774,64.98125445842744,0.0,,,,,
59,2.425903558731079,13,774,65.71772740602495,0.0,,,,,
60,2.4571733474731445,13,774,66.5648259830475,0.0,,,,,
61,2.4891631603240967,13,774,67.43143001317979,0.0,,,,,
62,2.521184206008911,13,774,68.29888014078142,0.0,,,,,
63,2.5531885623931885,13,774,69.1658781552315,0.0,,,,,
64,2.585641384124756,13,774,70.04502509593965,0.0,,,,,
65,2.6171815395355225,13,774,70.89944790601731,0.0,,,,,
66,2.64915132522583,13,774,71.76550940036775,0.0,,,,,
67,2.709186315536499,13,774,73.39185728788377,0.0,,,,,
68,2.7334327697753906,13,774,74.04869373321534,0.0,,,,,
69,2.7655789852142334,13,774,74.9195347094536,0.0,,,,,
70,2.7972018718719482,13,774,75.7761987090111,0.0,,,,,
71,2.8366923332214355,13,774,76.8459953069687,0.0,,,,,
72,2.8689072132110596,13,774,77.71869640588761,0.0,,,,,
73,2.9012179374694824,13,774,78.59399392604828,0.0,,,,,
74,2.9335272312164307,13,774,79.46925269365312,0.0,,,,,
75,2.965402841567993,13,774,80.33276297807694,0.0,,,,,
76,2.998070240020752,13,774,81.21772280216217,0.0,,,,,
77,3.0287270545959473,13,774,82.04821590900421,0.0,,,,,
78,3.069256067276001,13,774,83.14614686250687,0.0,,,,,
79,3.101264476776123,13,774,84.01325467586517,0.0,,,,,
80,3.1338531970977783,13,774,84.89608310937881,0.0,,,,,
81,3.1710352897644043,13,774,85.9033459997177,0.0,,,,,
82,3.205099582672119,14,772,86.82376319408415,0.0,,,,,
83,3.23675799369812,14,772,87.6791734600067,0.0,,,,,
84,3.262934446334839,14,772,88.38646121025083,0.0,,,,,
85,3.294987916946411,14,772,89.2525459861755,0.0,,,,,
86,3.327012062072754,14,772,90.11783838748929,0.0,,,,,
