,Time,Position,P,kp,Setpoint,Pixel Lenght
0,0.0,16,355.20000000000005,0.8,460.0,595.0
1,0.012970924377441406,14,356.8,,,
2,0.48697900772094727,14,356.8,,,
3,2.001052141189575,14,356.8,,,
4,3.51517391204834,14,356.8,,,
5,5.028970718383789,60,320.0,,,
6,6.542374849319458,235,180.0,,,
7,8.056400060653687,487,-21.6,,,
8,9.570730209350586,498,-30.400000000000002,,,
9,11.084813356399536,498,-30.400000000000002,,,
10,12.599332809448242,487,-21.6,,,
11,14.112696647644043,401,47.2,,,
12,15.626723051071167,295,132.0,,,
13,17.141366243362427,204,204.8,,,
14,18.65479850769043,122,270.40000000000003,,,
15,20.169326782226562,14,356.8,,,
16,21.683509588241577,14,356.8,,,
17,23.19671130180359,13,357.6,,,
18,24.71095871925354,14,356.8,,,
19,26.225541830062866,99,288.8,,,
20,27.739246368408203,328,105.60000000000001,,,
21,29.253612518310547,498,-30.400000000000002,,,
22,30.766905069351196,498,-30.400000000000002,,,
23,32.28086018562317,498,-30.400000000000002,,,
24,33.79545474052429,484,-19.200000000000003,,,
25,35.309629917144775,348,89.60000000000001,,,
26,36.82372713088989,235,180.0,,,
27,38.33710813522339,138,257.6,,,
28,39.85184025764465,14,356.8,,,
29,41.3654510974884,14,356.8,,,
30,42.879969358444214,13,357.6,,,
31,44.39344334602356,13,357.6,,,
