,Time,Position,P,kp,Setpoint,Pixel Lenght
0,0.0,13,178.8,0.4,460.0,595.0
1,0.012987136840820312,13,178.8,,,
2,0.4656190872192383,13,178.8,,,
3,1.9791197776794434,13,178.8,,,
4,3.4928336143493652,13,178.8,,,
5,5.006263732910156,13,178.8,,,
6,6.520148038864136,13,178.8,,,
7,8.033758640289307,13,178.8,,,
8,9.546990633010864,13,178.8,,,
9,11.060947895050049,13,178.8,,,
10,12.57467794418335,13,178.8,,,
11,14.088282585144043,13,178.8,,,
12,15.601568937301636,13,178.8,,,
13,17.11491584777832,13,178.8,,,
14,18.629205465316772,13,178.8,,,
15,20.14290428161621,13,178.8,,,
16,21.656501293182373,13,178.8,,,
17,23.17012357711792,13,178.8,,,
18,24.68382740020752,13,178.8,,,
19,26.19743585586548,13,178.8,,,
20,27.711049556732178,13,178.8,,,
21,29.224472045898438,13,178.8,,,
22,30.738077402114868,13,178.8,,,
23,32.25196361541748,13,178.8,,,
24,33.76520323753357,13,178.8,,,
25,35.27915644645691,13,178.8,,,
26,36.79288411140442,13,178.8,,,
27,38.30632042884827,13,178.8,,,
28,39.82019901275635,13,178.8,,,
29,41.333802700042725,13,178.8,,,
30,42.8472466468811,13,178.8,,,
31,44.36111330986023,13,178.8,,,
